"Unit type ","Unit ","Floor ","Street number ","Street alpha ","Street name ","Street type ","Street direction ","Suburb ","Town/City ","Unit type 2","Unit 2","Floor 2","Street number 2","Street alpha 2","Street name 2","Street type 2","Street direction 2","Suburb 2","Town/City 2","Unit type 3","Unit 3","Floor 3","Street number 3","Street alpha 3","Street name 3","Street type 3","Street direction 3","Suburb 3","Town/City 3","Unit type 4","Unit 4","Floor 4","Street number 4","Street alpha 4","Street name 4","Street type 4","Street direction 4","Suburb 4","Town/City 4","Unit type 5","Unit 5","Floor 5","Street number 5","Street alpha 5","Street name 5","Street type 5","Street direction 5","Suburb 5","Town/City 5","Unit type 6","Unit 6","Floor 6","Street number 6","Street alpha 6","Street name 6","Street type 6","Street direction 6","Suburb 6","Town/City 6","Unit type 7","Unit 7","Floor 7","Street number 7","Street alpha 7","Street name 7","Street type 7","Street direction 7","Suburb 7","Town/City 7","Unit type 8","Unit 8","Floor 8","Street number 8","Street alpha 8","Street name 8","Street type 8","Street direction 8","Suburb 8","Town/City 8","Unit type 9","Unit 9","Floor 9","Street number 9","Street alpha 9","Street name 9","Street type 9","Street direction 9","Suburb 9","Town/City 9","Common name 1","Common name 2","Common name 3","Common name 4","Common name 5","Common name 6","Common name 7","Common name 8","Common name 9","Common name 10","Notice type","Date of issue","Earthquake rating","Seismic work deadline","Priority building","Notice issued by","Heritage status","Area of seismic risk"
"","","","12","","Irk","Street","","","Gore","","","","14","","Irk","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Smiles Dental Clinic","Only Fades","","","","","","","","","EPB notice","24/03/2025","Not determined","25/07/2038","No","Gore District Council","","Medium"
"","","","22","","Irk","Street","","","Gore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HG Wallis Building (Crew Collective Hair Dressing)","","","","","","","","","","EPB notice","24/03/2025","Not determined","27/07/2038","No","Gore District Council","","Medium"
"","","","46","","Rutherford","Street","","Hutt Central","Lower Hutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/03/2025","Not determined","21/03/2040","No","Hutt City Council","","High"
"","","","58","","Ruataniwha ","Street","","","Waipukurau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","19/02/2025","Not determined","19/08/2032","Yes","Central Hawke's Bay District Council","","High"
"","","","51","","Station","Street","","","Leeston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greenfields Store","","","","","","","","","","EPB notice","08/11/2019","0% to less than 20%","08/11/2038","No","Selwyn District Council","","High"
"","","","59","","Balaclava","Street","","","Wyndham","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/03/2025","Not determined","19/02/2041","Yes","Southland District Council","","Medium"
"","","","63","","Balaclava","Street","","","Wyndham","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/03/2025","Not determined","26/08/2053","No","Southland District Council","","Medium"
"","","","2","","Ferry","Road","","","Edendale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/03/2025","Not determined","06/09/2052","No","Southland District Council","","Medium"
"","","","96","","Palmerston","Street","","","Riverton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/03/2025","Not determined","21/02/2041","Yes","Southland District Council","","Medium"
"","","","108","","Palmerston","Street","","","Riverton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/03/2025","Not determined","06/03/2040","Yes","Southland District Council","","Medium"
"","","","154","","Palmerston","Street","","","Riverton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/03/2025","Not determined","06/03/2040","Yes","Southland District Council","","Medium"
"","","","171","","Palmerston","Street","","","Riverton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","21/03/2025","Not determined","06/03/2040","Yes","Southland District Council","","Medium"
"","","","440","","Heretaunga","Street","West","","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bin Inn","","","","","","","","","","EPB notice","21/03/2025","Not determined","06/08/2041","No","Hastings District Council","","High"
"","","","418","","Heretaunga Street West","","","","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HB Roast; Dragons Crystal Ball; Adult Selections","","","","","","","","","","EPB notice","21/03/2025","0% to less than 20%","07/04/2041","No","Hastings District Council","","High"
"","","","501","","Heretaunga","Street","West","","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Big Noise Audio & Web Design (mid pt of bldg)","","","","","","","","","","EPB notice","20/03/2025","Not determined","30/09/2039","No","Hastings District Council","","High"
"","","","400","","Queen","Street","West","","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HB Suzuki Workshop (mid pt of building)","","","","","","","","","","EPB notice","20/03/2025","Not determined","30/09/2039","No","Hastings District Council","","High"
"","","","18","","Kenilworth ","Street","","","Waipawa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","07/03/2025","20% to less than 34%","07/03/2040","No","Central Hawke's Bay District Council","","High"
"","","","109","","King","Street","South","","Hastings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Retail Shop","","","","","","","","","","EPB notice","19/03/2025","Not determined","05/08/2041","No","Hastings District Council","","High"
"","","","33","","Barnard","Street","","","Timaru","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","07/12/2021","Not determined","09/06/2038","Yes","Timaru District Council","","Medium"
"","","","127","","King","Street","","","Temuka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","08/11/2021","Not determined","11/05/2038","Yes","Timaru District Council","Historic place category 2","Medium"
"","","","88","","King","Street","","","Temuka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPB notice","08/11/2021","Not determined","11/05/2038","Yes","Timaru District Council","Historic place category 2","Medium"
